timeframe,date,open,high,low,close,volume,peak_or_valley,strength
1min,2017-12-30 17:37:00,12551.01,12585.13,12526.98,12585.12,24.88040742,valley,0 days 00:03:00
5min,2017-12-30 17:37:00,12551.01,12585.13,12526.98,12585.12,24.88040742,peak,0 days 00:06:00
5min,2017-12-30 17:40:00,12560.0,12585.13,12520.22,12579.37,4.74449822,valley,0 days 00:08:00
1min,2017-12-30 17:43:00,12567.35,12585.94,12526.48,12579.53,22.21665297,valley,0 days 00:02:00
1min,2017-12-30 17:54:00,12839.05,12871.15,12830.0,12871.15,14.83424535,peak,0 days 00:04:00
1min,2017-12-30 17:55:00,12871.15,12871.15,12806.04,12806.58,14.42904247,valley,0 days 00:03:00
1min,2017-12-30 17:57:00,12820.0,12871.15,12806.1,12871.15,10.18412622,valley,0 days 00:02:00
1H,2017-12-30 18:00:00,12887.0,12894.5,12827.23,12848.99,30.23025996,peak,0 days 01:01:00
1min,2017-12-30 18:03:00,12790.24,12810.0,12737.78,12782.33,25.02425692,valley,0 days 00:03:00
15min,2017-12-30 18:08:00,12736.63,12736.63,12700.04,12703.69,8.03505259,valley,0 days 00:19:00
1min,2017-12-30 18:13:00,12824.3,12824.67,12779.3,12824.67,2.3571602,valley,0 days 00:02:00
15min,2017-12-30 18:16:00,12863.64,12871.64,12779.34,12830.0,21.2927882,peak,0 days 00:16:00
5min,2017-12-30 18:17:00,12830.0,12836.28,12766.17,12819.99,12.14462329,valley,0 days 00:05:00
1min,2017-12-30 18:22:00,12775.77,12775.77,12716.49,12751.05,16.76973898,valley,0 days 00:02:00
5min,2017-12-30 18:24:00,12757.46,12770.0,12701.67,12750.7,11.87344949,valley,0 days 00:05:00
5min,2017-12-30 18:26:00,12775.55,12790.29,12750.46,12775.73,13.55136644,peak,0 days 00:05:00
15min,2017-12-30 18:32:00,12616.6,12620.0,12585.13,12585.13,13.91555202,valley,0 days 00:48:00
5min,2017-12-30 18:40:00,12644.98,12699.0,12630.05,12646.11,21.08980507,peak,0 days 00:05:00
5min,2017-12-30 18:42:00,12666.08,12690.33,12602.34,12626.23,7.83992175,valley,0 days 00:05:00
1min,2017-12-30 18:47:00,12747.93,12757.23,12700.47,12754.2,24.23512171,peak,0 days 00:04:00
5min,2017-12-30 18:49:00,12727.4,12727.4,12624.88,12690.01,9.30604228,valley,0 days 00:06:00
1min,2017-12-30 18:54:00,12830.01,12849.29,12766.02,12795.85,26.20367516,valley,0 days 00:02:00
5min,2017-12-30 18:54:00,12830.01,12849.29,12766.02,12795.85,26.20367516,peak,0 days 00:06:00
1min,2017-12-30 18:57:00,12832.97,12833.0,12783.0,12832.98,12.20499735,valley,0 days 00:02:00
5min,2017-12-30 19:04:00,13032.79,13045.49,12990.87,13025.19,22.6839507,peak,0 days 00:05:00
1min,2017-12-30 19:05:00,13025.19,13044.47,12952.78,12985.0,10.80868497,valley,0 days 00:02:00
1min,2017-12-30 19:07:00,12954.04,13045.23,12950.02,13022.43,44.86993519,peak,0 days 00:02:00
5min,2017-12-30 19:07:00,12954.04,13045.23,12950.02,13022.43,44.86993519,valley,0 days 00:05:00
1min,2017-12-30 19:10:00,13032.38,13062.82,13022.6,13047.0,4.99112962,valley,0 days 00:02:00
15min,2017-12-30 19:14:00,13098.09,13130.83,13098.09,13100.12,12.99098089,peak,0 days 00:40:00
15min,2017-12-30 19:19:00,12979.84,13046.97,12950.0,13000.06,17.67438099,valley,0 days 00:17:00
1min,2017-12-30 19:21:00,13040.0,13089.89,13020.61,13024.93,2.91671008,peak,0 days 00:04:00
1min,2017-12-30 19:24:00,13001.08,13041.49,12988.02,12988.02,2.20506164,valley,0 days 00:04:00
1min,2017-12-30 19:26:00,13018.71,13085.97,13018.71,13084.58,9.08301531,peak,0 days 00:02:00
5min,2017-12-30 19:28:00,13076.01,13115.99,13076.01,13115.99,11.07448684,peak,0 days 00:11:00
5min,2017-12-30 19:31:00,13035.0,13035.0,12957.13,12977.41,57.45567769,valley,0 days 00:08:00
1min,2017-12-30 19:32:00,13029.97,13090.36,13029.97,13078.43,53.68139017,peak,0 days 00:02:00
1min,2017-12-30 19:35:00,13013.65,13040.0,12983.77,13039.99,4.7911711,valley,0 days 00:03:00
15min,2017-12-30 19:39:00,13016.0,13016.0,12943.67,12986.81,32.02414061,valley,0 days 00:37:00
1min,2017-12-30 19:42:00,12986.88,12999.0,12945.01,12950.11,9.89523616,valley,0 days 00:03:00
1min,2017-12-30 19:42:00,12986.88,12999.0,12945.01,12950.11,9.89523616,peak,0 days 00:02:00
1min,2017-12-30 19:48:00,13053.0,13075.0,13004.16,13059.12,13.16930434,valley,0 days 00:03:00
1min,2017-12-30 19:50:00,13082.59,13099.67,13047.67,13088.99,7.42759739,valley,0 days 00:02:00
1min,2017-12-30 19:52:00,13100.0,13115.0,13050.0,13114.93,4.0523701,valley,0 days 00:02:00
4H,2017-12-30 19:58:00,13214.23,13229.56,13200.0,13220.01,19.373598,peak,0 days 05:37:00
