timeframe,date,open,close,low,high,volume,ATR
1min,2017-10-06 04:48:00,4317.19,4313.98,4313.92,4317.19,0.65432915,3.310784725691721
1min,2017-10-06 04:49:00,4317.2,4317.2,4317.2,4317.2,0.02125683,3.3043001024280447
1min,2017-10-06 04:50:00,4317.2,4324.2,4317.2,4325.0,7.7949928,3.6254215236831975
1min,2017-10-06 04:51:00,4325.0,4325.0,4325.0,4325.0,1.091717,3.4236057005629825
1min,2017-10-06 04:52:00,4325.02,4325.03,4324.57,4325.03,0.61559715,3.2119195790942006
1min,2017-10-06 04:53:00,4324.79,4324.8,4318.71,4324.81,0.17147977,3.433925323444594
1min,2017-10-06 04:54:00,4318.15,4323.6,4318.15,4323.6,0.23589867,3.663644943198591
1min,2017-10-06 04:55:00,4323.59,4318.21,4318.21,4323.6,5.1173794,3.786956018684429
1min,2017-10-06 04:56:00,4318.21,4318.21,4318.21,4318.21,0.0,3.51645916020697
1min,2017-10-06 04:57:00,4323.26,4324.0,4323.26,4324.0,4.5742,3.678854934477898
1min,2017-10-06 04:58:00,4324.0,4324.0,4324.0,4324.0,0.0,3.416079582015191
1min,2017-10-06 04:59:00,4324.0,4324.0,4324.0,4324.0,0.0,3.1720738975855345
1min,2017-10-06 05:00:00,4324.0,4324.0,4324.0,4324.0,0.0,2.9454971906151393
1min,2017-10-06 05:01:00,4318.29,4321.04,4318.29,4321.04,4.09541091,3.142961676999775
1min,2017-10-06 05:02:00,4319.37,4324.91,4319.37,4324.91,1.25757098,3.314178700071217
1min,2017-10-06 05:03:00,4324.87,4319.43,4319.43,4324.87,1.06225233,3.4688802214946706
1min,2017-10-06 05:04:00,4325.0,4325.0,4324.26,4325.0,0.48882289,3.618960205673602
1min,2017-10-06 05:05:00,4324.91,4324.91,4324.91,4324.91,1.46071529,3.3668916195540697
1min,2017-10-06 05:06:00,4324.92,4324.54,4324.54,4324.92,2.05492864,3.1535422181573582
1min,2017-10-06 05:07:00,4324.54,4314.27,4313.78,4324.54,7.06722491,3.696860631146134
1min,2017-10-06 05:08:00,4313.84,4320.5,4313.84,4320.5,0.89163347,3.908513443207114
1min,2017-10-06 05:09:00,4318.74,4318.72,4318.72,4318.74,0.19537877,3.756476768692302
