timeframe,date,open,close,high,low,volume
1min,2023-10-23 19:05:00,31339.9,31312.1,31375.4,31312.1,8.82440333
5min,2023-10-23 19:05:00,31339.9,31203.0,31375.4,31190.6,28.35906429
1min,2023-10-23 19:06:00,31312.1,31220.5,31312.1,31220.5,7.11128793
1min,2023-10-23 19:07:00,31223.7,31259.5,31259.5,31220.8,5.33858058
1min,2023-10-23 19:08:00,31255.6,31190.6,31255.6,31190.6,2.64514329
1min,2023-10-23 19:09:00,31191.3,31203.0,31233.3,31191.3,4.43964916
1min,2023-10-23 19:10:00,31203.1,31215.5,31228.6,31175.6,3.98922029
5min,2023-10-23 19:10:00,31203.1,31261.0,31278.7,31175.6,17.76275973
1min,2023-10-23 19:11:00,31216.5,31253.0,31253.0,31216.5,2.4565075
1min,2023-10-23 19:12:00,31253.1,31261.0,31274.1,31238.1,4.52593746
1min,2023-10-23 19:13:00,31245.9,31265.6,31272.8,31239.0,4.65783845
1min,2023-10-23 19:14:00,31257.7,31261.0,31278.7,31244.6,2.13325603
15min,2023-10-23 19:15:00,31256.7,31169.4,31260.9,31082.1,71.69225341
1min,2023-10-23 19:15:00,31256.7,31214.8,31260.9,31211.5,1.34477306
5min,2023-10-23 19:15:00,31256.7,31122.3,31260.9,31122.2,20.202425660000003
1min,2023-10-23 19:16:00,31211.0,31228.1,31230.3,31204.6,0.56536342
1min,2023-10-23 19:17:00,31220.0,31192.6,31220.0,31177.4,5.48587061
1min,2023-10-23 19:18:00,31193.5,31180.0,31217.1,31177.1,2.08596188
1min,2023-10-23 19:19:00,31178.2,31122.3,31182.5,31122.2,10.72045669
1min,2023-10-23 19:20:00,31122.3,31159.2,31170.6,31122.3,9.99436575
5min,2023-10-23 19:20:00,31122.3,31090.7,31182.2,31082.1,36.68071792
1min,2023-10-23 19:21:00,31162.3,31164.2,31182.2,31145.2,6.47904165
1min,2023-10-23 19:22:00,31164.2,31157.0,31170.9,31153.6,2.11548616
1min,2023-10-23 19:23:00,31162.5,31133.1,31169.9,31133.1,6.19484479
1min,2023-10-23 19:24:00,31133.0,31090.7,31133.0,31082.1,11.89697957
1min,2023-10-23 19:25:00,31091.9,31144.0,31144.1,31091.9,1.90913889
5min,2023-10-23 19:25:00,31091.9,31169.4,31190.0,31091.9,14.80910983
1min,2023-10-23 19:26:00,31144.1,31141.6,31172.5,31141.6,3.78055664
1min,2023-10-23 19:27:00,31143.9,31163.1,31163.2,31140.9,1.90995063
1min,2023-10-23 19:28:00,31163.2,31168.1,31182.0,31159.0,5.82794379
1min,2023-10-23 19:29:00,31168.1,31169.4,31190.0,31164.1,1.38151988
15min,2023-10-23 19:30:00,31164.1,31256.7,31286.0,31099.0,43.12753463
1min,2023-10-23 19:30:00,31164.1,31142.6,31164.2,31142.6,0.39635328
5min,2023-10-23 19:30:00,31164.1,31139.3,31178.8,31099.0,5.96795305
1min,2023-10-23 19:31:00,31145.1,31156.6,31156.7,31124.2,0.6355533
1min,2023-10-23 19:32:00,31156.7,31161.6,31178.8,31156.7,0.69214816
1min,2023-10-23 19:33:00,31166.8,31141.1,31173.6,31141.1,1.69215748
1min,2023-10-23 19:34:00,31138.1,31139.3,31139.3,31099.0,2.55174083
1min,2023-10-23 19:35:00,31139.3,31189.6,31189.6,31136.4,4.59208399
5min,2023-10-23 19:35:00,31139.3,31226.0,31236.3,31136.4,16.42399569
1min,2023-10-23 19:36:00,31189.7,31173.2,31190.6,31159.7,1.88484022
1min,2023-10-23 19:37:00,31173.2,31192.0,31204.6,31162.1,2.07685258
1min,2023-10-23 19:38:00,31194.1,31192.3,31210.6,31189.0,1.13660551
1min,2023-10-23 19:39:00,31196.2,31226.0,31236.3,31191.4,6.73361339
1min,2023-10-23 19:40:00,31223.5,31234.9,31235.0,31214.6,1.98835009
5min,2023-10-23 19:40:00,31223.5,31256.7,31286.0,31214.6,20.73558589
1min,2023-10-23 19:41:00,31236.4,31264.1,31269.6,31232.0,6.69758749
1min,2023-10-23 19:42:00,31263.0,31260.4,31286.0,31250.2,6.50885837
1min,2023-10-23 19:43:00,31263.5,31271.1,31275.8,31250.2,1.27358356
